No,都道,自治体名等,フリガナ
701,北海道,妹背牛町,モセウシチョウ
702,鳥取,江府町,コウフチョウ
703,北海道,愛別町,アイベツチョウ
704,北海道,遠別町,エンベツチョウ
705,北海道,礼文町,レブンチョウ
706,高知,田野町,タノチョウ
707,和歌山,古座川町,コザガワチョウ
708,北海道,利尻富士町,リシリフジチョウ
709,福井,池田町,イケダチョウ
710,北海道,滝上町,タキノウエチョウ
711,北海道,奥尻町,オクシリチョウ
712,北海道,雨竜町,ウリュウチョウ
713,北海道,南富良野町,ミナミフラノチョウ
714,北海道,幌延町,ホロノベチョウ
715,高知,安田町,ヤスダチョウ
716,山口,上関町,カミノセキチョウ
717,青森,今別町,イマベツマチ
718,北海道,秩父別町,チップベツチョウ
719,長崎,小値賀町,オヂカチョウ
720,島根,海士町,アマチョウ
721,北海道,陸別町,リクベツチョウ
722,高知,東洋町,トウヨウチョウ
723,北海道,喜茂別町,キモベツチョウ
724,福島,富岡町,トミオカマチ
725,北海道,利尻町,リシリチョウ
726,京都,伊根町,イネチョウ
727,福島,浪江町,ナミエマチ
728,福島,金山町,カネヤママチ
729,北海道,積丹町,シャコタンチョウ
730,北海道,浦臼町,ウラウスチョウ
731,北海道,北竜町,ホクリュウチョウ
732,沖縄,与那国町,ヨナグニチョウ
733,群馬,神流町,カンナマチ
734,北海道,中頓別町,ナカトンベツチョウ
735,北海道,中川町,ナカガワチョウ
736,福島,三島町,ミシママチ
737,徳島,上勝町,カミカツチョウ
738,北海道,幌加内町,ホロカナイチョウ
739,宮城,七ヶ宿町,シチカシュクマチ
740,京都,笠置町カサギチョウウ
741,山梨,早川町,ハヤカワチョウ
742,福島,大熊町,オオクママチ
743,福島,双葉町,フタバマチ
